"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.726,0.114,0.358,0.646,0.198,0.306,0.49,0.334,0.93
0.418,0.658,0.926,0.726,0.03,0.99,0.086,0.794,0.062
0.33,0.942,0.59,0.598,0.282,0.282,0.586,0.278,0.634
0.934,0.898,0.062,0.502,0.126,0.114,0.25,0.954,0.982
0.47,0.51,0.91,0.026,0.142,0.794,0.038,0.882,0.294
0.982,0.474,0.322,0.198,0.378,0.182,0.054,0.902,0.014
0.914,0.826,0.518,0.338,0.074,0.466,0.07,0.258,0.366
0.942,0.626,0.406,0.082,0.982,0.786,0.354,0.814,0.762
0.706,0.582,0.63,0.778,0.802,0.978,0.698,0.622,0.766
0.458,0.97,0.506,0.522,0.878,0.138,0.174,0.742,0.518
0.302,0.15,0.978,0.914,0.67,0.566,0.446,0.946,0.618
0.838,0.134,0.522,0.09,0.202,0.562,0.662,0.522,0.818
0.814,0.458,0.654,0.746,0.498,0.654,0.722,0.806,0.222
0.314,0.574,0.33,0.658,0.57,0.094,0.526,0.082,0.358
0.034,0.686,0.05,0.242,0.726,0.238,0.826,0.642,0.042
0.51,0.418,0.758,0.578,0.77,0.494,0.222,0.842,0.246
0.098,0.818,0.598,0.634,0.218,0.146,0.966,0.878,0.07
0.57,0.634,0.622,0.81,0.086,0.118,0.706,0.566,0.354
0.37,0.542,0.31,0.37,0.13,0.334,0.218,0.858,0.218
0.09,0.814,0.854,0.418,0.714,0.954,0.094,0.214,0.098
0.754,0.85,0.082,0.33,0.986,0.31,0.466,0.09,0.462
0.55,0.902,0.586,0.43,0.49,0.122,0.738,0.014,0.506
0.442,0.694,0.686,0.786,0.242,0.35,0.31,0.222,0.494
0.074,0.654,0.73,0.878,0.434,0.718,0.046,0.586,0.662
0.422,0.366,0.154,0.094,0.11,0.486,0.426,0.646,0.834
0.45,0.486,0.258,0.89,0.138,0.926,0.366,0.146,0.29
0.242,0.39,0.962,0.066,0.598,0.722,0.01,0.55,0.306
0.41,0.478,0.602,0.006,0.01,0.798,0.486,0.702,0.526
0.91,0.714,0.714,0.226,0.346,0.55,0.278,0.306,0.778
0.126,0.218,0.098,0.934,0.97,0.322,0.018,0.106,0.09
0.382,0.358,0.934,0.03,0.91,0.294,0.246,0.95,0.326
0.546,0.354,0.43,0.382,0.938,0.13,0.99,0.262,0.926
0.018,0.758,0.942,0.65,0.65,0.858,0.89,0.914,0.006
0.102,0.342,0.846,0.434,0.05,0.234,0.778,0.874,0.814
0.186,0.106,0.646,0.642,0.062,0.534,0.17,0.926,0.43
0.614,0.03,0.266,0.71,0.454,0.014,0.61,0.122,0.746
0.662,0.29,0.186,0.518,0.886,0.09,0.45,0.53,0.226
0.278,0.242,0.706,0.822,0.334,0.422,0.414,0.242,0.286
0.478,0.394,0.498,0.142,0.678,0.358,0.686,0.47,0.026
0.75,0.538,0.99,0.654,0.186,0.258,0.318,0.418,0.41
0.01,0.678,0.246,0.018,0.994,0.354,0.834,0.89,0.094
0.95,0.674,0.022,0.566,0.61,0.966,0.098,0.426,0.262
0.274,0.67,0.922,0.41,0.99,0.438,0.062,0.11,0.438
0.354,0.614,0.542,0.314,0.798,0.426,0.402,0.542,0.138
0.338,0.958,0.87,0.254,0.746,0.594,0.23,0.534,0.638
0.758,0.822,0.918,0.542,0.518,0.302,0.554,0.13,0.102
0.826,0.99,0.402,0.458,0.446,0.202,0.666,0.782,0.914
0.134,0.974,0.11,0.85,0.354,0.326,0.326,0.206,0.47
0.346,0.786,0.47,0.766,0.81,0.278,0.462,0.774,0.862
0.194,0.266,0.202,0.858,0.214,0.05,0.762,0.778,0.21
0.694,0.926,0.282,0.022,0.166,0.998,0.538,0.626,0.698
0.998,0.198,0.102,0.962,0.042,0.662,0.63,0.066,0.338
0.718,0.578,0.998,0.75,0.45,0.006,0.75,0.482,0.05
0.554,0.126,0.026,0.302,0.53,0.882,0.398,0.99,0.822
0.306,0.222,0.986,0.754,0.89,0.47,0.622,0.91,0.938
0.486,0.73,0.806,0.854,0.474,0.862,0.534,0.71,0.382
0.81,0.202,0.57,0.706,0.178,0.082,0.606,0.038,0.558
0.774,0.014,0.21,0.334,0.694,0.922,0.57,0.898,0.794
0.954,0.414,0.662,0.61,0.458,0.87,0.83,0.634,0.63
0.002,0.09,0.066,0.31,0.786,0.806,0.81,0.67,0.11
0.118,0.122,0.39,0.678,0.37,0.746,0.93,0.37,0.27
0.258,0.182,0.25,0.602,0.906,0.218,0.422,0.246,0.154
0.646,0.33,0.878,0.07,0.29,0.222,0.334,0.706,0.074
0.106,0.718,0.398,0.266,0.718,0.742,0.282,0.346,0.398
0.226,0.886,0.418,0.122,0.114,0.346,0.522,0.102,0.838
0.362,0.79,0.142,0.106,0.118,0.29,0.022,0.314,0.174
0.23,0.326,0.426,0.862,0.546,0.482,0.91,0.31,0.59
0.762,0.722,0.626,0.674,0.27,0.53,0.978,0.562,0.858
0.414,0.038,0.214,0.402,0.962,0.458,0.53,0.002,0.998
0.594,0.742,0.558,0.378,0.294,0.782,0.134,0.822,0.598
0.678,0.982,0.618,0.51,0.93,0.766,0.138,0.134,0.51
0.71,0.41,0.974,0.682,0.914,0.518,0.782,0.786,0.958
0.138,0.142,0.182,0.322,0.842,0.67,0.154,0.498,0.874
0.974,0.494,0.446,0.966,0.23,0.77,0.854,0.07,0.81
0.178,0.262,0.074,0.998,0.154,0.11,0.434,0.558,0.73
0.602,0.894,0.946,0.842,0.094,0.538,0.158,0.674,0.078
0.502,0.382,0.954,0.158,0.206,0.558,0.954,0.85,0.418
0.518,0.178,0.158,0.446,0.31,0.066,0.066,0.198,0.61
0.366,0.146,0.526,0.638,0.266,0.778,0.878,0.23,0.442
0.094,0.11,0.502,0.038,0.83,0.886,0.042,0.77,0.214
0.27,0.406,0.722,0.802,0.514,0.734,0.958,0.938,0.602
0.482,0.078,0.798,0.098,0.342,0.286,0.078,0.618,0.114
0.606,0.866,0.882,0.134,0.034,0.39,0.146,0.574,0.826
0.19,0.086,0.55,0.05,0.014,0.194,0.162,0.862,0.878
0.738,0.49,0.83,0.45,0.102,0.79,0.794,0.526,0.25
0.262,0.75,0.742,0.406,0.978,0.526,0.802,0.094,0.918
0.522,0.53,0.374,0.83,0.058,0.618,0.822,0.266,0.054
0.402,0.17,0.982,0.986,0.322,0.034,0.942,0.026,0.35
0.406,0.046,0.826,0.462,0.026,0.674,0.102,0.87,0.334
0.906,0.766,0.634,0.394,0.15,0.802,0.574,0.042,0.142
0.878,0.838,0.994,0.162,0.262,0.174,0.814,0.054,0.458
0.15,0.234,0.606,0.102,0.438,0.946,0.258,0.322,0.694
0.93,0.274,0.822,0.95,0.506,0.762,0.934,0.298,0.79
0.282,0.794,0.762,0.01,0.39,0.106,0.73,0.29,0.646
0.386,0.098,0.294,0.486,0.302,0.274,0.026,0.398,0.546
0.538,0.27,0.566,0.99,0.146,0.43,0.41,0.17,0.522
0.946,0.034,0.77,0.218,0.958,0.502,0.518,0.098,0.466
0.734,0.63,0.126,0.77,0.894,0.098,0.542,0.83,0.266
0.562,0.682,0.19,0.246,0.226,0.058,0.718,0.174,0.722
0.014,0.502,0.094,0.17,0.466,0.754,0.198,0.81,0.954
0.066,0.802,0.382,0.238,0.358,0.062,0.286,0.714,0.89
0.666,0.59,0.046,0.826,0.002,0.406,0.294,0.35,0.738
0.446,0.23,0.682,0.606,0.51,0.986,0.71,0.142,0.934
0.794,0.962,0.038,0.138,0.21,0.814,0.19,0.438,0.022
0.526,0.762,0.906,0.882,0.182,0.442,0.35,0.046,0.786
0.77,0.754,0.786,0.326,0.298,0.846,0.786,0.57,0.754
0.394,0.57,0.086,0.794,0.246,0.686,0.386,0.69,0.31
0.742,0.438,0.902,0.074,0.682,0.506,0.39,0.962,0.206
0.506,0.258,0.898,0.318,0.654,0.894,0.254,0.202,0.902
0.006,0.446,0.75,0.902,0.782,0.07,0.302,0.978,0.614
0.634,0.006,0.254,0.466,0.502,0.25,0.798,0.326,0.882
0.682,0.986,0.842,0.702,0.386,0.906,0.51,0.162,0.23
0.038,0.566,0.614,0.938,0.43,0.038,0.962,0.33,0.322
0.162,0.362,0.93,0.174,0.622,0.694,0.994,0.282,0.242
0.926,0.378,0.734,0.886,0.414,0.49,0.05,0.986,0.01
0.426,0.91,0.53,0.894,0.818,0.57,0.582,0.486,0.302
0.642,0.534,0.642,0.574,0.306,0.414,0.946,0.182,0.986
0.11,0.43,0.014,0.982,0.17,0.478,0.358,0.41,0.194
0.83,0.71,0.45,0.398,0.362,0.454,0.014,0.074,0.498
0.142,0.154,0.534,0.718,0.442,0.582,0.298,0.734,0.49
