"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.5509,0.1895,0.7593,0.6811,0.1741,0.9449,0.5903,0.9507,0.8853
0.9187,0.5797,0.1375,0.9689,0.8857,0.4497,0.0951,0.9119,0.0693
0.8745,0.7175,0.2125,0.0653,0.2491,0.6097,0.2463,0.3183,0.0695
0.2417,0.2905,0.4149,0.9203,0.3347,0.1207,0.3575,0.0987,0.9489
0.7885,0.9969,0.9665,0.5303,0.7675,0.2531,0.2821,0.8787,0.1745
0.7865,0.7355,0.4555,0.8375,0.9737,0.4885,0.1825,0.4303,0.2557
0.6223,0.5027,0.2075,0.8425,0.7079,0.9425,0.0053,0.0195,0.1733
0.3645,0.2105,0.6849,0.8917,0.0137,0.0087,0.8467,0.9677,0.2093
0.7201,0.5905,0.5361,0.0065,0.8551,0.9439,0.8805,0.3005,0.3211
0.7539,0.2245,0.4581,0.8583,0.4327,0.5285,0.0353,0.8163,0.4737
0.0701,0.2489,0.7255,0.1787,0.6703,0.4215,0.4649,0.1645,0.8921
0.6127,0.8931,0.6281,0.2585,0.8699,0.4005,0.9887,0.9285,0.6473
0.2151,0.3557,0.8431,0.7955,0.5421,0.8359,0.6587,0.7101,0.5621
0.3015,0.4923,0.7485,0.9767,0.9491,0.6995,0.6261,0.5549,0.2763
0.9447,0.6797,0.1257,0.9833,0.6321,0.0141,0.8205,0.5295,0.2061
0.0765,0.7987,0.2949,0.7219,0.3629,0.9401,0.9175,0.7883,0.5641
0.4073,0.9225,0.1283,0.2669,0.3867,0.3655,0.9577,0.2337,0.6711
0.2515,0.0877,0.1847,0.8293,0.4833,0.5053,0.2095,0.2261,0.4603
0.7127,0.7557,0.5567,0.4991,0.1743,0.4169,0.5925,0.3821,0.8687
0.7007,0.0225,0.4067,0.0983,0.2739,0.1265,0.0903,0.4459,0.9909
0.0115,0.6309,0.3811,0.1647,0.6847,0.6201,0.9687,0.1183,0.7991
0.5295,0.4681,0.8081,0.9265,0.8383,0.7921,0.8325,0.2061,0.6397
0.3553,0.4627,0.0547,0.3981,0.8853,0.3303,0.4523,0.0237,0.0663
0.0711,0.4129,0.4367,0.9907,0.7013,0.3983,0.6781,0.0059,0.3031
0.5783,0.1125,0.7049,0.9929,0.2917,0.8039,0.9279,0.9035,0.8571
0.6833,0.8929,0.0819,0.7115,0.7475,0.4173,0.6209,0.9203,0.8991
0.6189,0.5611,0.0291,0.7279,0.3287,0.7839,0.8813,0.5415,0.4195
